Sensor,s_0
1577931000000,257.0
1577931300000,309.0
1577931600000,298.0
1577931900000,323.0
1577932200000,397.0
1577932500000,368.0
1577932800000,400.0
1577933100000,462.0
1577933400000,431.0
1577933700000,466.0
1577934000000,449.0
1577934300000,442.0
1577934600000,471.0
1577934900000,471.0
1577935200000,471.0
1577935500000,437.0
1577935800000,474.0
1577936100000,374.0
1577936400000,387.0
1577936700000,379.0
1577937000000,419.0
1577937300000,445.0
1577937600000,371.0
1577937900000,323.0
1577938200000,323.0
1577938500000,347.0
1577938800000,304.0
1577939100000,301.0
1577939400000,272.0
1577939700000,256.0
1577940000000,296.0
1577940300000,277.0
1577940600000,284.0
1577940900000,267.0
1577941200000,316.0
1577941500000,282.0
1577941800000,293.0
1577942100000,290.0
1577942400000,335.0
1577942700000,341.0
1577943000000,260.0
1577943300000,427.0
1577943600000,321.0
1577943900000,333.0
1577944200000,357.0
1577944500000,309.0
1577944800000,345.0
1577945100000,311.0
1577945400000,391.0
1577945700000,345.0
1577946000000,320.0
1577946300000,369.0
1577946600000,348.0
1577946900000,387.0
1577947200000,413.0
1577947500000,489.0
1577947800000,466.0
1577948100000,491.0
1577948400000,436.0
1577948700000,513.0
1577949000000,538.0
1577949300000,580.0
1577949600000,490.0
1577949900000,601.0
1577950200000,458.0
1577950500000,641.0
1577950800000,613.0
1577951100000,539.0
1577951400000,584.0
1577951700000,683.0
1577952000000,630.0
1577952300000,748.0
1577952600000,668.0
1577952900000,572.0
1577953200000,825.0
1577953500000,620.0
1577953800000,644.0
1577954100000,654.0
1577954400000,714.0
1577954700000,679.0
1577955000000,540.0
1577955300000,678.0
1577955600000,446.0
1577955900000,708.0
1577956200000,648.0
1577956500000,529.0
1577956800000,591.0
1577957100000,658.0
1577957400000,532.0
1577957700000,513.0
1577958000000,536.0
1577958300000,529.0
1577958600000,446.0
1577958900000,400.0
1577959200000,311.0
1577959500000,585.0
1577959800000,535.0
1577960100000,361.0
1577960400000,346.0
1577960700000,420.0
1577961000000,452.0
1577961300000,361.0
1577961600000,492.0
1577961900000,438.0
1577962200000,378.0
1577962500000,401.0
1577962800000,393.0
1577963100000,416.0
1577963400000,456.0
1577963700000,375.0
1577964000000,356.0
1577964300000,480.0
1577964600000,437.0
1577964900000,396.0
1577965200000,449.0
1577965500000,356.0
1577965800000,445.0
1577966100000,442.0
1577966400000,458.0
1577966700000,506.0
1577967000000,482.0
1577967300000,485.0
1577967600000,488.0
1577967900000,476.0
1577968200000,125.0
1577968500000,-5.0
1577968800000,-5.0
1577969100000,-5.0
1577969400000,-5.0
1577969700000,-5.0
1577970000000,-5.0
1577970300000,-5.0
1577970600000,37.0
1577970900000,431.0
1577971200000,440.0
1577971500000,445.0
1577971800000,443.0
1577972100000,423.0
1577972400000,397.0
1577972700000,373.0
1577973000000,333.0
1577973300000,373.0
1577973600000,347.0
1577973900000,332.0
1577974200000,288.0
1577974500000,297.0
1577974800000,318.0
1577975100000,297.0
1577975400000,268.0
1577975700000,138.0
1577976000000,134.0
1577976300000,130.0
1577976600000,126.0
1577976900000,122.0
1577977200000,118.0
1577977500000,114.0
1577977800000,110.0
1577978100000,106.0
1577978400000,102.0
1577978700000,98.0
1577979000000,94.0
1577979300000,90.0
1577979600000,86.0
1577979900000,82.0
1577980200000,89.0
1577980500000,61.0
1577980800000,37.5
1577981100000,14.0
1577981400000,20.0
1577981700000,34.0
1577982000000,20.0
1577982300000,9.0
1577982600000,4.0
1577982900000,6.0
1577983200000,-1.0
1577983500000,1.0
1577983800000,10.0
1577984100000,7.0
1577984400000,4.0
1577984700000,1.0
1577985000000,-3.0
1577985300000,2.0
1577985600000,11.0
1577985900000,0.0
1577986200000,-2.0
1577986500000,-5.0
1577986800000,-5.0
1577987100000,-2.0
1577987400000,-5.0
1577987700000,-2.0
1577988000000,-5.0
1577988300000,-5.0
1577988600000,13.0
1577988900000,10.0
1577989200000,7.0
1577989500000,7.0
1577989800000,7.0
1577990100000,7.0
1577990400000,10.0
1577990700000,9.0
1577991000000,8.0
1577991300000,7.0
1577991600000,7.0
1577991900000,13.0
1577992200000,7.0
1577992500000,10.0
1577992800000,7.0
1577993100000,7.0
1577993400000,7.0
1577993700000,7.0
1577994000000,10.0
1577994300000,10.0
1577994600000,7.0
1577994900000,7.0
1577995200000,7.0
1577995500000,10.0
1577995800000,7.0
1577996100000,7.0
1577996400000,10.0
1577996700000,7.0
1577997000000,10.0
1577997300000,7.0
1577997600000,7.0
1577997900000,7.0
1577998200000,7.0
1577998500000,10.0
1577998800000,7.0
1577999100000,10.0
1577999400000,10.0
1577999700000,19.0
1578000000000,7.0
1578000300000,10.0
1578000600000,7.0
1578000900000,10.0
1578001200000,10.0
1578001500000,7.0
1578001800000,10.0
1578002100000,7.0
1578002400000,16.0
1578002700000,10.0
1578003000000,13.0
1578003300000,10.0
1578003600000,7.0
1578003900000,10.0
1578004200000,13.0
1578004500000,13.0
1578004800000,25.0
1578005100000,19.0
1578005400000,16.0
1578005700000,16.0
1578006000000,21.0
1578006300000,17.0
1578006600000,13.0
1578006900000,16.0
1578007200000,16.0
1578007500000,18.0
1578007800000,26.0
1578008100000,25.0
1578008400000,25.0
1578008700000,19.0
1578009000000,28.0
1578009300000,32.0
1578009600000,38.0
1578009900000,29.0
1578010200000,46.0
1578010500000,49.0
1578010800000,67.0
1578011100000,66.0
1578011400000,86.0
1578011700000,77.0
1578012000000,103.0
1578012300000,104.0
1578012600000,124.0
1578012900000,118.0
1578013200000,122.0
1578013500000,137.0
1578013800000,143.0
1578014100000,170.0
1578014400000,150.0
1578014700000,215.0
1578015000000,233.0
1578015300000,227.0
1578015600000,228.0
1578015900000,303.0
1578016200000,303.0
1578016500000,49.0
1578016800000,144.5
1578017100000,240.0
1578017400000,345.0
1578017700000,301.0
1578018000000,385.0
1578018300000,403.0
1578018600000,423.0
1578018900000,482.0
1578019200000,545.0
1578019500000,548.0
1578019800000,566.0
1578020100000,568.0
1578020400000,539.0
1578020700000,620.0
1578021000000,591.0
1578021300000,585.0
1578021600000,563.0
1578021900000,660.0
1578022200000,632.0
1578022500000,513.0
1578022800000,544.0
1578023100000,625.0
1578023400000,582.0
1578023700000,460.0
1578024000000,490.0
