Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16627920k(9707996k free), swap 26065104k(17458240k free)
CommandLine flags: -XX:InitialHeapSize=419430400 -XX:MaxHeapSize=4256169984 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-08-14T13:39:57.204+0800: 545.430: [GC (Allocation Failure) [PSYoungGen: 111626K->501K(119808K)] 149665K->38596K(393216K), 0.0042200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:39:59.226+0800: 547.447: [GC (Allocation Failure) [PSYoungGen: 109045K->576K(109568K)] 147140K->38719K(382976K), 0.0026017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:00.905+0800: 549.141: [GC (Allocation Failure) [PSYoungGen: 109077K->693K(122880K)] 147220K->38884K(396288K), 0.0028603 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2022-08-14T13:40:02.341+0800: 550.565: [GC (Allocation Failure) [PSYoungGen: 109179K->597K(121856K)] 147370K->38844K(395264K), 0.0026976 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:03.808+0800: 552.029: [GC (Allocation Failure) [PSYoungGen: 109068K->629K(124416K)] 147315K->38900K(397824K), 0.0029523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:05.639+0800: 553.860: [GC (Allocation Failure) [PSYoungGen: 112757K->576K(123904K)] 151028K->38887K(397312K), 0.0025276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:08.574+0800: 556.795: [GC (Allocation Failure) [PSYoungGen: 112704K->672K(125952K)] 151015K->39039K(399360K), 0.0026980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:10.568+0800: 558.789: [GC (Allocation Failure) [PSYoungGen: 115872K->1424K(125440K)] 154239K->39839K(398848K), 0.0026782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:12.261+0800: 560.483: [GC (Allocation Failure) [PSYoungGen: 116620K->629K(127488K)] 155035K->39132K(400896K), 0.0026803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:14.036+0800: 562.258: [GC (Allocation Failure) [PSYoungGen: 118880K->501K(126976K)] 157384K->39204K(400384K), 0.0040949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:15.503+0800: 563.724: [GC (Allocation Failure) [PSYoungGen: 118773K->384K(128512K)] 157476K->39143K(401920K), 0.0021871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:17.730+0800: 565.954: [GC (Allocation Failure) [PSYoungGen: 120690K->597K(128000K)] 159450K->39396K(401408K), 0.0048664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:19.387+0800: 567.608: [GC (Allocation Failure) [PSYoungGen: 120917K->384K(129536K)] 159716K->39215K(402944K), 0.0024251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:21.751+0800: 569.972: [GC (Allocation Failure) [PSYoungGen: 122740K->789K(129024K)] 161571K->39668K(402432K), 0.0032122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:23.333+0800: 571.554: [GC (Allocation Failure) [PSYoungGen: 123144K->597K(130048K)] 162024K->39540K(403456K), 0.0027890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:40:25.813+0800: 574.047: [GC (Allocation Failure) [PSYoungGen: 123989K->704K(129536K)] 162932K->39671K(402944K), 0.0029845 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2022-08-14T13:40:28.797+0800: 577.018: [GC (Allocation Failure) [PSYoungGen: 124085K->853K(131072K)] 163052K->39860K(404480K), 0.0028126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:41:44.840+0800: 653.063: [GC (Allocation Failure) [PSYoungGen: 126236K->789K(130560K)] 165243K->39852K(403968K), 0.0050369 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:41:46.700+0800: 654.928: [GC (Allocation Failure) [PSYoungGen: 126224K->469K(131584K)] 165288K->39702K(404992K), 0.0041424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:41:48.532+0800: 656.758: [GC (Allocation Failure) [PSYoungGen: 127445K->448K(131584K)] 166678K->39729K(404992K), 0.0023461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:09.890+0800: 918.116: [GC (Allocation Failure) [PSYoungGen: 127424K->4069K(130048K)] 166705K->43886K(403456K), 0.0035224 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:46:10.218+0800: 918.451: [GC (Allocation Failure) [PSYoungGen: 129692K->4435K(130560K)] 169509K->46389K(403968K), 0.0020957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:10.647+0800: 918.871: [GC (Allocation Failure) [PSYoungGen: 130387K->2000K(130560K)] 172341K->44018K(403968K), 0.0011745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:11.077+0800: 919.300: [GC (Allocation Failure) [PSYoungGen: 126928K->2000K(130560K)] 168946K->44082K(403968K), 0.0017382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:11.597+0800: 919.824: [GC (Allocation Failure) [PSYoungGen: 126818K->2599K(130560K)] 168900K->44729K(403968K), 0.0014371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:13.038+0800: 921.259: [GC (Allocation Failure) [PSYoungGen: 127527K->2064K(130560K)] 169657K->44250K(403968K), 0.0018836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:14.722+0800: 922.945: [GC (Allocation Failure) [PSYoungGen: 126992K->5115K(129024K)] 169178K->47437K(402432K), 0.0019017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:16.515+0800: 924.744: [GC (Allocation Failure) [PSYoungGen: 128986K->2381K(130048K)] 171308K->44751K(403456K), 0.0024259 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:18.153+0800: 926.384: [GC (Allocation Failure) [PSYoungGen: 125978K->1978K(130560K)] 168348K->44396K(403968K), 0.0013558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:19.796+0800: 928.020: [GC (Allocation Failure) [PSYoungGen: 126394K->2320K(130048K)] 168812K->44802K(403456K), 0.0018562 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:46:21.421+0800: 929.646: [GC (Allocation Failure) [PSYoungGen: 126736K->2335K(131072K)] 169218K->44881K(404480K), 0.0018126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:22.829+0800: 931.060: [GC (Allocation Failure) [PSYoungGen: 127775K->3696K(130560K)] 170321K->46298K(403968K), 0.0018166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.814+0800: 932.049: [GC (Allocation Failure) [PSYoungGen: 129065K->2195K(131072K)] 171667K->44861K(404480K), 0.0021197 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2022-08-14T13:46:23.829+0800: 932.066: [GC (Allocation Failure) [PSYoungGen: 127600K->391K(130560K)] 170266K->45014K(403968K), 0.0016094 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2022-08-14T13:46:23.848+0800: 932.080: [GC (Allocation Failure) [PSYoungGen: 125715K->389K(155136K)] 170338K->45268K(428544K), 0.0010010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.880+0800: 932.101: [GC (Allocation Failure) [PSYoungGen: 150374K->359K(155136K)] 195253K->45468K(428544K), 0.0011392 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.896+0800: 932.119: [GC (Allocation Failure) [PSYoungGen: 150278K->356K(184832K)] 195388K->45706K(458240K), 0.0013730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.925+0800: 932.146: [GC (Allocation Failure) [PSYoungGen: 180008K->1283K(184832K)] 225358K->46814K(458240K), 0.0011915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.945+0800: 932.166: [GC (Allocation Failure) [PSYoungGen: 180946K->322K(219648K)] 226477K->46771K(493056K), 0.0013665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.976+0800: 932.197: [GC (Allocation Failure) [PSYoungGen: 215764K->231K(220160K)] 262213K->46827K(493568K), 0.0012650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:23.993+0800: 932.216: [GC (Allocation Failure) [PSYoungGen: 215741K->167K(263168K)] 262337K->46771K(536576K), 0.0011754 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.024+0800: 932.252: [GC (Allocation Failure) [PSYoungGen: 258586K->199K(263168K)] 305190K->46811K(536576K), 0.0011335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.050+0800: 932.277: [GC (Allocation Failure) [PSYoungGen: 258759K->4578K(312832K)] 305371K->51950K(586240K), 0.0016309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.079+0800: 932.309: [GC (Allocation Failure) [PSYoungGen: 312802K->349K(313856K)] 360174K->52261K(587264K), 0.0015461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.110+0800: 932.339: [GC (Allocation Failure) [PSYoungGen: 308470K->71K(374784K)] 360383K->52245K(648192K), 0.0009912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.149+0800: 932.374: [GC (Allocation Failure) [PSYoungGen: 369181K->678K(374784K)] 421355K->52853K(648192K), 0.0011795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.180+0800: 932.401: [GC (Allocation Failure) [PSYoungGen: 369830K->617K(445952K)] 422005K->53019K(719360K), 0.0010862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.213+0800: 932.441: [GC (Allocation Failure) [PSYoungGen: 442338K->903K(446464K)] 494741K->53554K(719872K), 0.0013358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.247+0800: 932.472: [GC (Allocation Failure) [PSYoungGen: 442759K->1642K(532992K)] 495410K->54802K(806400K), 0.0013420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.320+0800: 932.541: [GC (Allocation Failure) [PSYoungGen: 530026K->606K(532992K)] 583186K->54639K(806400K), 0.0014271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.354+0800: 932.579: [GC (Allocation Failure) [PSYoungGen: 528990K->199K(635904K)] 583023K->54551K(909312K), 0.0012426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.425+0800: 932.649: [GC (Allocation Failure) [PSYoungGen: 632007K->4094K(635904K)] 686359K->60048K(909312K), 0.0024464 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-14T13:46:24.465+0800: 932.688: [GC (Allocation Failure) [PSYoungGen: 635902K->71K(760832K)] 691856K->59993K(1034240K), 0.0015085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.700+0800: 932.925: [GC (Allocation Failure) [PSYoungGen: 755271K->1223K(760832K)] 815193K->61146K(1034240K), 0.0018515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.769+0800: 932.990: [GC (Allocation Failure) [PSYoungGen: 756272K->482K(904704K)] 816195K->60951K(1178112K), 0.0013353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.865+0800: 933.090: [GC (Allocation Failure) [PSYoungGen: 901602K->477K(905728K)] 962071K->61010K(1179136K), 0.0018346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:24.916+0800: 933.147: [GC (Allocation Failure) [PSYoungGen: 901597K->4578K(1077248K)] 962130K->66150K(1350656K), 0.0016560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.046+0800: 933.282: [GC (Allocation Failure) [PSYoungGen: 1077218K->1319K(1078784K)] 1138790K->63916K(1352192K), 0.0019694 secs] [Times: user=0.06 sys=0.02, real=0.02 secs] 
2022-08-14T13:46:25.137+0800: 933.358: [GC (Allocation Failure) [PSYoungGen: 1073959K->418K(1282560K)] 1136556K->63497K(1555968K), 0.0012937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.265+0800: 933.501: [GC (Allocation Failure) [PSYoungGen: 1277858K->5624K(1283072K)] 1340937K->68776K(1556480K), 0.0020320 secs] [Times: user=0.08 sys=0.03, real=0.02 secs] 
2022-08-14T13:46:25.376+0800: 933.604: [GC (Allocation Failure) [PSYoungGen: 1283064K->981K(1379328K)] 1346216K->66131K(1652736K), 0.0016079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.480+0800: 933.701: [GC (Allocation Failure) [PSYoungGen: 1373653K->953K(1378816K)] 1438803K->66395K(1652224K), 0.0012309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.740+0800: 933.965: [GC (Allocation Failure) [PSYoungGen: 1373625K->2596K(1378816K)] 1439067K->68340K(1652224K), 0.0017924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.812+0800: 934.042: [GC (Allocation Failure) [PSYoungGen: 1375268K->1150K(1378816K)] 1441012K->69082K(1652224K), 0.0018918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:25.905+0800: 934.126: [GC (Allocation Failure) [PSYoungGen: 1373822K->1749K(1378816K)] 1441754K->70313K(1652224K), 0.0016918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.167+0800: 934.395: [GC (Allocation Failure) [PSYoungGen: 1375445K->2869K(1378816K)] 1444009K->72605K(1652224K), 0.0021075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.253+0800: 934.474: [GC (Allocation Failure) [PSYoungGen: 1376565K->889K(1379840K)] 1446301K->73012K(1653248K), 0.0017094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.500+0800: 934.726: [GC (Allocation Failure) [PSYoungGen: 1375609K->2471K(1379840K)] 1447732K->74897K(1653248K), 0.0015144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.567+0800: 934.801: [GC (Allocation Failure) [PSYoungGen: 1377191K->1021K(1380352K)] 1449617K->75658K(1653760K), 0.0016521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.812+0800: 935.036: [GC (Allocation Failure) [PSYoungGen: 1376253K->3443K(1380352K)] 1450890K->78998K(1653760K), 0.0026131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.883+0800: 935.114: [GC (Allocation Failure) [PSYoungGen: 1378675K->1042K(1380352K)] 1454230K->79463K(1653760K), 0.0018936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:26.970+0800: 935.192: [GC (Allocation Failure) [PSYoungGen: 1376274K->1721K(1380352K)] 1454695K->80878K(1653760K), 0.0017400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:27.368+0800: 935.590: [GC (Allocation Failure) [PSYoungGen: 1376953K->2503K(1379328K)] 1456110K->83032K(1652736K), 0.0018625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:27.433+0800: 935.664: [GC (Allocation Failure) [PSYoungGen: 1377735K->1053K(1379840K)] 1458264K->83897K(1653248K), 0.0017659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:28.451+0800: 936.680: [GC (Allocation Failure) [PSYoungGen: 1376285K->4196K(1379840K)] 1459129K->87879K(1653248K), 0.0026033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:40.657+0800: 948.878: [GC (Allocation Failure) [PSYoungGen: 1379428K->5051K(1380352K)] 1463111K->89707K(1653760K), 0.0035855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:42.799+0800: 951.024: [GC (Allocation Failure) [PSYoungGen: 1380283K->2968K(1314816K)] 1464939K->87872K(1588224K), 0.0022655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:42.892+0800: 951.113: [GC (Allocation Failure) [PSYoungGen: 1314712K->497K(1377280K)] 1399616K->87414K(1650688K), 0.0015600 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.081+0800: 951.313: [GC (Allocation Failure) [PSYoungGen: 1371633K->2469K(1310720K)] 1458550K->89612K(1584128K), 0.0015567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.164+0800: 951.392: [GC (Allocation Failure) [PSYoungGen: 1310629K->636K(1376256K)] 1397772K->90039K(1649664K), 0.0017558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.271+0800: 951.492: [GC (Allocation Failure) [PSYoungGen: 1371260K->1422K(1379840K)] 1460663K->91185K(1653248K), 0.0013407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.449+0800: 951.683: [GC (Allocation Failure) [PSYoungGen: 1375630K->2783K(1379840K)] 1465393K->93611K(1653248K), 0.0018870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.552+0800: 951.773: [GC (Allocation Failure) [PSYoungGen: 1376991K->433K(1379840K)] 1467819K->93449K(1653248K), 0.0014473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.810+0800: 952.037: [GC (Allocation Failure) [PSYoungGen: 1374641K->2517K(1376768K)] 1467657K->95759K(1650176K), 0.0015778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:43.893+0800: 952.121: [GC (Allocation Failure) [PSYoungGen: 1376725K->721K(1379328K)] 1469967K->96240K(1652736K), 0.0015202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:44.184+0800: 952.410: [GC (Allocation Failure) [PSYoungGen: 1374929K->3395K(1379328K)] 1470448K->99460K(1652736K), 0.0023319 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:44.267+0800: 952.499: [GC (Allocation Failure) [PSYoungGen: 1377603K->924K(1379840K)] 1473668K->99823K(1653248K), 0.0018489 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:44.365+0800: 952.587: [GC (Allocation Failure) [PSYoungGen: 1375644K->1550K(1379840K)] 1474543K->101105K(1653248K), 0.0012230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:44.816+0800: 953.041: [GC (Allocation Failure) [PSYoungGen: 1376270K->2517K(1380352K)] 1475825K->103200K(1653760K), 0.0018282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:44.894+0800: 953.125: [GC (Allocation Failure) [PSYoungGen: 1377749K->753K(1380352K)] 1478432K->103769K(1653760K), 0.0019181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:45.160+0800: 953.388: [GC (Allocation Failure) [PSYoungGen: 1375985K->3271K(1380352K)] 1479001K->106841K(1653760K), 0.0023566 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2022-08-14T13:46:45.241+0800: 953.472: [GC (Allocation Failure) [PSYoungGen: 1378503K->940K(1380352K)] 1482073K->107392K(1653760K), 0.0018352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-08-14T13:46:45.343+0800: 953.564: [GC (Allocation Failure) [PSYoungGen: 1376172K->1518K(1379328K)] 1482624K->108665K(1652736K), 0.0019213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
