DataSet,DataType,Mean,Standard_variance,MAD,Delta_mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,RAKE,0.5342
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,RLE,0.35160833333333336
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,TS_2DIFF,0.117575
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,GORILLA,0.363125
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,PLAIN,0.17845833333333333
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,SPRINTZ,0.13055
repeat_0.csv,INT32,-0.0581,939.387707458635,453.0,0.23332333233323332,50.21259599090831,412,7.87303698618603,0.0,0.5041504150415042,RLBE,0.27505833333333335
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,RAKE,0.538675
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,RLE,0.24015
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,TS_2DIFF,0.1119
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,GORILLA,0.134
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,PLAIN,0.17540833333333333
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,SPRINTZ,0.1105
repeat_2.csv,INT32,-0.0532,531.7024782430113,352.0,-0.039003900390039,28.686532912935665,318,6.761447162686849,0.6752,0.83998399839984,RLBE,0.12106666666666667
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,RAKE,0.612475
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,RLE,0.19615
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,TS_2DIFF,0.11136666666666667
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,GORILLA,0.0838
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,PLAIN,0.18035
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,SPRINTZ,0.10646666666666667
repeat_3.csv,INT32,0.0423,1345.9858951380993,1014.0,0.33953395339533954,22.677060063600287,305,6.679355401761143,0.7963,0.9020902090209021,RLBE,0.092175
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,RAKE,0.5790583333333333
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,RLE,0.059908333333333334
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,TS_2DIFF,0.10316666666666667
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,GORILLA,0.04315833333333333
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,PLAIN,0.16860833333333333
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,SPRINTZ,0.0814
repeat_7.csv,INT32,-0.0096,242.52069006136364,178.0,-0.0012001200120012002,11.137656993290195,403,5.371088638281522,0.9535,0.9788978897889788,RLBE,0.04989166666666667
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,RAKE,0.65615
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,RLE,0.026441666666666665
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,TS_2DIFF,0.07481666666666667
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,GORILLA,0.03133333333333333
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,PLAIN,0.17205
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,SPRINTZ,0.07614166666666666
repeat_9.csv,INT32,0.0781,178.28377211734667,126.0,-0.045204520452045205,5.8031650354025235,284,4.160850832559132,0.9589,0.9937993799379938,RLBE,0.0395
