DataSet,DataType,Value mean,Standard_variance,MAD,Delta_mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,RAKE,0.362575
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,RLE,0.18494166666666667
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,TS_2DIFF,0.11576666666666667
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,GORILLA,0.1764
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,PLAIN,0.26790833333333336
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,SPRINTZ,0.128275
mean_8.csv,INT32,29999.5026,1234.3174343714181,981.5,0.25742574257425743,50.091303162116965,446,8.093258806065863,0.0,0.5088508850885088,RLBE,0.2745416666666667
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,RAKE,0.7963833333333333
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,RLE,0.35160833333333336
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,TS_2DIFF,0.11656666666666667
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,GORILLA,0.17488333333333334
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,PLAIN,0.26790833333333336
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,SPRINTZ,0.14689166666666667
mean_1.csv,INT32,-39999.501,2783.1299420973864,1631.5,-0.6884688468846885,49.53898332760492,396,8.439535468366934,0.0,0.4957495749574958,RLBE,0.2777833333333333
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,RAKE,0.7835083333333334
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,RLE,0.35160833333333336
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,TS_2DIFF,0.11690833333333334
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,GORILLA,0.19348333333333334
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,PLAIN,0.26790833333333336
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,SPRINTZ,0.147025
mean_0.csv,INT32,-49999.4982,1709.0197259823422,741.0,0.28962896289628964,50.43430861428444,387,8.154533644192433,0.0,0.5039503950395039,RLBE,0.275875
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,RAKE,0.31295833333333334
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,RLE,0.174525
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,TS_2DIFF,0.1167
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,GORILLA,0.18071666666666666
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,PLAIN,0.25306666666666666
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,SPRINTZ,0.11908333333333333
mean_6.csv,INT32,9999.4983,2161.125489923505,1243.0,0.9923992399239924,50.1733283580238,402,8.369506762575476,0.0,0.5070507050705071,RLBE,0.2744333333333333
mean_7.csv,INT32,19999.5021,2076.67694675787,1728.5,0.128012801280128,50.21138250093002,380,8.28877521418333,0.0,0.5054505450545055,RAKE,0.3196083333333333
mean_7.csv,INT32,19999.5021,2076.67694675787,1728.5,0.128012801280128,50.21138250093002,380,8.28877521418333,0.0,0.5054505450545055,RLE,0.174525
mean_7.csv,INT32,19999.5021,2076.67694675787,1728.5,0.128012801280128,50.21138250093002,380,8.28877521418333,0.0,0.5054505450545055,TS_2DIFF,0.1159
