DataSet,DataType,Mean,Standard_variance,MAD,Delta_mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,RAKE,0.5660166666666666
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,RLE,0.35160833333333336
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,TS_2DIFF,0.1085
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,GORILLA,0.20984166666666668
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,PLAIN,0.26445833333333335
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,SPRINTZ,0.13721666666666665
increase_10.csv,INT32,-0.0009,114881.99396689587,99309.0,39.8036803680368,30.32026540625389,210,9.199336321708955,0.0,1.0,RLBE,0.14534166666666667
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,RAKE,0.56035
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,RLE,0.35160833333333336
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,TS_2DIFF,0.1155
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,GORILLA,0.2835083333333333
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,PLAIN,0.25921666666666665
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,SPRINTZ,0.136275
increase_7.csv,INT32,-0.0165,46976.507187765965,40800.5,16.133413341334133,47.016967811487845,383,9.145419685448385,0.0,0.7108710871087108,RLBE,0.22653333333333334
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,RAKE,0.5682333333333334
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,RLE,0.35160833333333336
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,TS_2DIFF,0.11570833333333333
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,GORILLA,0.19006666666666666
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,PLAIN,0.26255
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,SPRINTZ,0.13731666666666667
increase_2.csv,INT32,0.0052,69076.108928426,58737.0,-23.89198919891989,44.31400577632627,375,9.172769084583152,0.0,0.20882088208820881,RLBE,0.330175
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,RAKE,0.5668666666666666
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,RLE,0.35160833333333336
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,TS_2DIFF,0.11416666666666667
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,GORILLA,0.19329166666666667
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,PLAIN,0.263975
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,SPRINTZ,0.13716666666666666
increase_9.csv,INT32,0.0034,91405.44703594086,78684.0,31.703970397039704,38.9825542928044,371,9.188141317191242,0.0,0.9008900890089009,RLBE,0.174575
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,RAKE,0.5633083333333333
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,RLE,0.35160833333333336
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,TS_2DIFF,0.1071
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,GORILLA,0.198425
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,PLAIN,0.264525
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,SPRINTZ,0.13733333333333334
increase_0.csv,INT32,-0.0086,115079.99876189836,98205.5,-40.023002300230026,30.161645237477316,193,9.19975221001729,0.0,0.007600760076007601,RLBE,0.3544333333333333
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,RAKE,0.5678166666666666
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,RLE,0.35160833333333336
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,TS_2DIFF,0.11490833333333333
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,GORILLA,0.19985833333333333
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,PLAIN,0.262075
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,SPRINTZ,0.13679166666666667
increase_8.csv,INT32,-0.0007,68841.86695935912,59310.5,23.95699569956996,43.843145107900014,405,9.175369064061924,0.0,0.8015801580158016,RLBE,0.20248333333333332
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,RAKE,0.669625
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,RLE,0.35160833333333336
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,TS_2DIFF,0.11683333333333333
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,GORILLA,0.36173333333333335
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,PLAIN,0.182325
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,SPRINTZ,0.13684166666666667
increase_5.csv,INT32,0.1485,2036.2193035740893,939.5,0.42654265426542654,50.32233910838495,362,8.30209389753896,0.0,0.5082508250825083,RLBE,0.27408333333333335
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,RAKE,0.555375
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,RLE,0.35160833333333336
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,TS_2DIFF,0.11603333333333334
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,GORILLA,0.2838833333333333
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,PLAIN,0.259175
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,SPRINTZ,0.136525
increase_3.csv,INT32,-0.023,45989.68102545039,40723.5,-15.967296729672967,47.81360731745233,360,9.144781573288874,0.0,0.3063306330633063,RLBE,0.314375
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,RAKE,0.55825
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,RLE,0.35160833333333336
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,TS_2DIFF,0.11536666666666667
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,GORILLA,0.19161666666666666
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,PLAIN,0.24984166666666666
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,SPRINTZ,0.13518333333333332
increase_6.csv,INT32,-0.0188,24875.944554304802,20573.5,8.82028202820282,48.936823414981305,371,9.078759355452496,0.0,0.6093609360936093,RLBE,0.25116666666666665
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,RAKE,0.564425
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,RLE,0.35160833333333336
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,TS_2DIFF,0.1131
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,GORILLA,0.20809166666666667
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,PLAIN,0.2632083333333333
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,SPRINTZ,0.13726666666666668
increase_1.csv,INT32,0.0015,92293.54886160624,79133.5,-31.99139913991399,37.78602789951658,392,9.189216372872782,0.0,0.1003100310031003,RLBE,0.34544166666666665
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,RAKE,0.5697083333333334
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,RLE,0.35160833333333336
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,TS_2DIFF,0.11683333333333333
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,GORILLA,0.27926666666666666
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,PLAIN,0.25143333333333334
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,SPRINTZ,0.13635833333333333
increase_4.csv,INT32,0.0015,23970.335547086062,19372.0,-8.413541354135413,49.44027644283089,395,9.068759691045416,0.0,0.40374037403740376,RLBE,0.296225
