DataSet,DataType,Mean,Standard_variance,MAD,Delta mean,Delta variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RAKE,0.5502583333333333
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RLE,0.35160833333333336
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,TS_2DIFF,0.16254166666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,GORILLA,0.3457
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,PLAIN,0.2613666666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,SPRINTZ,0.17536666666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RLBE,0.29935833333333334
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RAKE,0.10121666666666666
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RLE,0.017933333333333332
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,TS_2DIFF,0.028283333333333334
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,GORILLA,0.02835
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,PLAIN,0.10121666666666666
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,SPRINTZ,0.04570833333333333
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RLBE,0.0329
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RAKE,0.531125
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RLE,0.35160833333333336
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,TS_2DIFF,0.12670833333333334
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,GORILLA,0.29973333333333335
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,PLAIN,0.18346666666666667
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,SPRINTZ,0.13994166666666666
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RLBE,0.28241666666666665
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RAKE,0.5348083333333333
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RLE,0.35160833333333336
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,TS_2DIFF,0.1574
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,GORILLA,0.353225
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,PLAIN,0.2526333333333333
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,SPRINTZ,0.17148333333333332
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RLBE,0.29639166666666666
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,RAKE,0.5238166666666667
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,RLE,0.35160833333333336
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,TS_2DIFF,0.138175
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,GORILLA,0.31758333333333333
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,PLAIN,0.21411666666666668
