DataSet,DataType,Mean,Standard_variance,MAD,Delta mean,Delta_variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,RAKE,0.5590833333333334
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,RLE,0.35160833333333336
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,TS_2DIFF,0.162675
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,GORILLA,0.3017166666666667
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,PLAIN,0.32440833333333335
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,SPRINTZ,0.18455833333333332
diffmean_1.csv,INT32,-0.0053,1917300.5507628832,1664138.0,-663.3030303030303,1277.308675899123,7662,9.209231336487282,0.0,0.49104910491049103,RLBE,0.29573333333333335
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,RAKE,0.5651
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,RLE,0.35160833333333336
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,TS_2DIFF,0.162675
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,GORILLA,0.24724166666666667
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,PLAIN,0.3148
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,SPRINTZ,0.18176666666666666
diffmean_8.csv,INT32,0.0014,1351601.564280265,1188822.0,468.33263326332633,1155.4603280178592,8046,9.207706412690051,0.0,0.5043504350435043,RLBE,0.3027
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,RAKE,0.5624666666666667
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,RLE,0.35160833333333336
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,TS_2DIFF,0.162675
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,GORILLA,0.2512
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,PLAIN,0.31219166666666665
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,SPRINTZ,0.18114166666666667
diffmean_2.csv,INT32,-0.0008,1315766.288876242,1129203.0,-455.87018701870187,1154.6127705058768,8613,9.20756778325394,0.0,0.5023502350235024,RLBE,0.2950583333333333
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,RAKE,0.5610416666666667
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,RLE,0.35160833333333336
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,TS_2DIFF,0.162675
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,GORILLA,0.24884166666666666
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,PLAIN,0.3304416666666667
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,SPRINTZ,0.18685833333333332
diffmean_10.csv,INT32,0.0069,2399279.130592339,2089076.5,827.3391339133914,1405.6384136166291,8488,9.208538189306722,0.0,0.49214921492149216,RLBE,0.305775
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,RAKE,0.5578666666666666
diffmean_7.csv,INT32,-0.0142,866335.7433295792,716807.0,302.43464346434644,1077.537099836522,8294,9.205349712276146,0.0,0.5023502350235024,RLE,0.35160833333333336
