DataSet,DataFile,Datatype,Compression,Encoding,Data Mean,Data Variance,Data Spread,Delta Mean,Delta Variance,Delta Spread,Repeat,Increase,Select Time,Insert Time
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,RAKE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.005667104721069336,0.1180451774597168
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,RLE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006922898292541504,0.12093335628509522
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,TS_2DIFF,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.007397923469543457,0.11270521163940429
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,GORILLA,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.007951884269714356,0.11746225833892822
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,PLAIN,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.008200569152832031,0.12176417827606201
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,SPRINTZ,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.008227295875549316,0.11853159427642822
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,UNCOMPRESSED,RLBE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006089658737182617,0.11691226005554199
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,RAKE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.005713315010070801,0.12032547950744629
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,RLE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006382102966308594,0.12175528049468994
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,TS_2DIFF,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006549692153930664,0.11993804454803467
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,GORILLA,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006359877586364746,0.117962327003479
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,PLAIN,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006120753288269043,0.1213271188735962
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,SPRINTZ,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006468663215637207,0.120991792678833
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,GZIP,RLBE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.0057661008834838864,0.1112277603149414
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,LZ4,RAKE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.005734653472900391,0.11973790645599365
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,LZ4,RLE,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006539878845214844,0.11732358932495117
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,LZ4,TS_2DIFF,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006387195587158203,0.12001987934112548
/home/srt_2022/client-py/data/learn/new_data50/new_data/value_mean/3,value_mean_30.csv,DOUBLE,LZ4,GORILLA,-20000.0,2702.3886125373933,9721.463993534433,0.33781193924898195,49.93032746909774,379.48598614342336,0.0,0.5031503150315032,0.006635627746582031,0.11533601760864258
