DataSet,DataFile,Datatype,Compression,Encoding,Data Mean,Data Variance,Data Spread,Delta Mean,Delta Variance,Delta Spread,Repeat,Increase,Select Time,Insert Time
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,RAKE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006060152053833008,0.11102629184722901
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,RLE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.005737166404724121,0.11048445701599122
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,TS_2DIFF,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006150889396667481,0.11723185539245605
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,GORILLA,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.005784511566162109,0.11827042579650879
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,PLAIN,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.0060955810546875,0.11181993961334229
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,SPRINTZ,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006795034408569336,0.11235866069793701
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,UNCOMPRESSED,RLBE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006559138298034668,0.11628891468048096
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,RAKE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.005992522239685058,0.11605002403259278
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,RLE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.008104920387268066,0.10967550277709961
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,TS_2DIFF,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.007911734580993653,0.11232605934143067
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,GORILLA,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.005980334281921387,0.11201277732849121
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,PLAIN,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006573953628540039,0.11539659500122071
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,SPRINTZ,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.0058951997756958,0.11877077579498291
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,GZIP,RLBE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006011185646057129,0.11034307956695556
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,RAKE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.005679488182067871,0.1121585464477539
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,RLE,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.0055837869644165036,0.10790871620178223
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,TS_2DIFF,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.0059227275848388675,0.11236562728881835
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,GORILLA,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.0056743001937866215,0.11283710956573487
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,PLAIN,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.007372794151306153,0.12059134006500244
/home/srt_2022/client-py/data/learn/new_data50/new_data_int/value_mean/3,value_mean_30.csv,INT64,LZ4,SPRINTZ,-19999.0481,1659.9960818587465,6713,-0.21152115211521152,49.89990544412545,385,0.0,0.5077507750775078,0.006279377937316894,0.1101432752609253
