Encoding,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compression Ratio,Encoding_sort
TS_2DIFF,0.9976219458257425,0.549015264110442,1.0,1.0,1.0,0
GORILLA,0.9814300815632743,0.9740397287893007,0.2104251526216332,0.37398362716274136,0.3370150917560303,1
RAKE,0.47509452319042644,1.0,0.14257736330433968,0.6338568575954512,0.03474131395469493,2
RLE,1.0,0.47551281260945477,0.10831408503663831,0.0,0.6988276785979294,3
RLBE,0.0,0.0,0.5432629214700065,0.8261391742391162,0.0,4
SPRINTZ,0.9096309085227756,0.4919556517401017,0.819735170513924,0.9681017439438236,0.45470155809369883,5
PLAIN,0.933593995110531,0.7488444653353052,0.0,0.1444693381245764,0.25496507161156745,6
