Sensor,s_0
1545148800000,354910.0
1545149100000,354919.0
1545149400000,354928.0
1545149700000,354936.0
1545150000000,354944.0
1545150300000,354954.0
1545150600000,354962.0
1545150900000,354971.0
1545151200000,354979.0
1545151500000,354988.0
1545151800000,354996.0
1545152100000,355005.0
1545152400000,355014.0
1545152700000,355022.0
1545153000000,355031.0
1545153300000,355039.0
1545153600000,355048.0
1545153900000,355056.0
1545154200000,355065.0
1545154500000,355073.0
1545154800000,355082.0
1545155100000,355091.0
1545155400000,355099.0
1545155700000,355108.0
1545156000000,355116.0
1545156300000,355124.0
1545156600000,355133.0
1545156900000,355142.0
1545157200000,355151.0
1545157500000,355159.0
1545157800000,355168.0
1545158100000,355177.0
1545158400000,355185.0
1545158700000,355194.0
1545159000000,355202.0
1545159300000,355208.0
1545159600000,355212.0
1545159900000,355215.0
1545160200000,355219.0
1545160500000,355222.0
1545160800000,355229.0
1545161100000,355238.0
1545161400000,355247.0
1545161700000,355255.0
1545162000000,355264.0
1545162300000,355273.0
1545162600000,355282.0
1545162900000,355290.0
1545163200000,355296.0
1545163500000,355300.0
1545163800000,355310.0
1545164100000,355317.0
1545164400000,355327.0
1545164700000,355335.0
1545165000000,355343.0
1545165300000,355352.0
1545165600000,355361.0
1545165900000,355369.0
1545166200000,355378.0
1545166500000,355386.0
1545166800000,355395.0
1545167100000,355404.0
1545167400000,355412.0
1545167700000,355421.0
1545168000000,355429.0
1545168300000,355438.0
1545168600000,355446.0
1545168900000,355455.0
1545169200000,355463.0
1545169500000,355472.0
1545169800000,355481.0
1545170100000,355489.0
1545170400000,355498.0
1545170700000,355507.0
1545171000000,355515.0
1545171300000,355524.0
1545171600000,355532.0
1545171900000,355540.0
1545172200000,355549.0
1545172500000,355558.0
1545172800000,355566.0
1545173100000,355575.0
1545173400000,355583.0
1545173700000,355592.0
1545174000000,355600.0
1545174300000,355609.0
1545174600000,355618.0
1545174900000,355626.0
1545175200000,355635.0
1545175500000,355643.0
1545175800000,355652.0
1545176100000,355660.0
1545176400000,355669.0
1545176700000,355678.0
1545177000000,355687.0
1545177300000,355695.0
1545177600000,355704.0
1545177900000,355712.0
1545178200000,355721.0
1545178500000,355729.0
1545178800000,355738.0
1545179100000,355747.0
1545179400000,355754.0
1545179700000,355763.0
1545180000000,355772.0
1545180300000,355780.0
1545180600000,355789.0
1545180900000,355798.0
1545181200000,355807.0
1545181500000,355814.0
1545181800000,355823.0
1545182100000,355832.0
1545182400000,355840.0
1545182700000,355850.0
1545183000000,355858.0
1545183300000,355866.0
1545183600000,355875.0
1545183900000,355883.0
1545184200000,355892.0
1545184500000,355900.0
1545184800000,355909.0
1545185100000,355918.0
1545185400000,355927.0
1545185700000,355935.0
1545186000000,355944.0
1545186300000,355953.0
1545186600000,355961.0
1545186900000,355969.0
1545187200000,355978.0
1545187500000,355986.0
1545187800000,355995.0
1545188100000,356003.0
1545188400000,356012.0
1545188700000,356021.0
1545189000000,356029.0
1545189300000,356038.0
1545189600000,356047.0
1545189900000,356055.0
1545190200000,356063.0
1545190500000,356072.0
1545190800000,356080.0
1545191100000,356089.0
1545191400000,356098.0
1545191700000,356106.0
1545192000000,356115.0
1545192300000,356124.0
1545192600000,356132.0
1545192900000,356141.0
1545193200000,356149.0
1545193500000,356158.0
1545193800000,356166.0
1545194100000,356175.0
1545194400000,356184.0
1545194700000,356192.0
1545195000000,356201.0
1545195300000,356210.0
1545195600000,356218.0
1545195900000,356226.0
1545196200000,356235.0
1545196500000,356243.0
1545196800000,356252.0
1545197100000,356260.0
