Senser,s_0
1569859200,4.493945122
1569859200,4.463069916
1569859200,4.43219471
1569859200,4.433824539
1569859200,4.585780621
1569859200,4.493155003
1569859200,4.411438465
1569859200,4.502342224
1569859200,4.533185482
1569859200,4.56402874
1569859200,4.594871998
1569859200,4.34384346
1569859260,4.227410793
1569859260,4.376273155
1569859260,4.444897652
1569859260,4.491278172
1569859260,4.573868752
1569859260,4.526926041
1569859260,4.434300423
1569859260,4.470089436
1569859260,4.470657349
1569859260,4.424277306
1569859260,4.461214066
1569859260,4.527485371
1569859320,4.574151516
1569859320,4.573071957
1569859320,4.527314663
1569859320,4.481039047
1569859320,4.434083462
1569859320,4.443155289
1569859320,4.535780907
1569859320,4.565013885
1569859320,4.49171114
1569859320,4.46089983
1569859320,4.43008852
1569859320,4.426112175
1569859380,4.495591164
1569859380,4.464963436
1569859380,4.434336185
1569859380,4.41293478
1569859380,4.50320673
1569859380,4.534270763
1569859380,4.565335274
1569859380,4.596399307
1569859380,4.550896168
1569859380,4.504619122
1569859380,4.458342552
1569859380,4.412065506
1569859440,4.486411572
1569859440,4.579037189
1569859440,4.521757603
1569859440,4.429131985
1569859440,4.336506367
1569859440,4.511414528
1569859440,4.532627106
1569859440,4.562777996
1569859440,4.577110767
1569859440,4.546235561
1569859440,4.515360355
1569859440,4.551916599
1569859500,4.58476162
1569859500,4.561623096
1569859500,4.538484573
1569859500,4.51534605
1569859500,4.538025379
1569859500,4.573961258
1569859500,4.512210846
1569859500,4.450460434
1569859500,4.431487083
1569859500,4.523250103
1569859500,4.5771842
1569859500,4.49091959
1569859560,4.429168701
1569859560,4.367418289
1569859560,4.325428009
1569859560,4.505983353
1569859560,4.595349789
1569859560,4.502162933
1569859560,4.508415222
1569859560,4.515550137
1569859560,4.522685051
1569859560,4.529820442
1569859560,4.536955357
1569859560,4.544090271
1569859620,4.551225662
1569859620,4.558360577
1569859620,4.565495491
1569859620,4.572630882
1569859620,4.579765797
1569859620,4.586900711
1569859620,4.594036102
1569859620,4.567713261
1569859620,4.521332741
1569859620,4.518893719
1569859620,4.549738884
1569859620,4.580584049
1569859680,4.591183186
1569859680,4.579600811
1569859680,4.568018436
1569859680,4.556435585
1569859680,4.54485321
1569859680,4.533270836
1569859680,4.521688461
1569859680,4.510106087
1569859680,4.508857727
1569859680,4.539732933
1569859680,4.570608139
1569859680,4.587173462
1569859740,4.525486946
1569859740,4.46380043
1569859740,4.417607784
1569859740,4.595872402
1569859740,4.572734356
1569859740,4.549595833
1569859740,4.52645731
1569859740,4.503318787
1569859740,4.586322308
1569859740,4.590383053
1569859740,4.583260059
1569859740,4.576136589
1569859800,4.569013119
1569859800,4.561889648
1569859800,4.554766655
1569859800,4.547643185
1569859800,4.540519714
1569859800,4.533396244
1569859800,4.526273251
1569859800,4.51914978
1569859800,4.51202631
1569859800,4.50490284
1569859800,4.524508476
1569859800,4.570821285
1569859860,4.576254368
1569859860,4.529869556
1569859860,4.537003517
1569859860,4.593718529
1569859860,4.585300446
1569859860,4.576882362
1569859860,4.568463802
1569859860,4.560045719
1569859860,4.551627636
1569859860,4.543209553
1569859860,4.53479147
1569859860,4.526373386
1569859920,4.517955303
1569859920,4.50953722
1569859920,4.503813744
1569859920,4.596710205
1569859920,4.565834999
1569859920,4.534959793
1569859920,4.504084587
1569859920,4.585497856
1569859920,4.612956524
1569859920,4.631448269
1569859920,4.649939537
1569859920,4.668430805
1569859980,4.686922073
1569859980,4.624461651
1569859980,4.589464664
1569859980,4.579173088
1569859980,4.568881512
1569859980,4.558589458
1569859980,4.548297882
