INT32,INT64,FLOAT,DOUBLE,Mean,Standard_variance,Spread,Delta_mean,Delta_variance,Delta_spread,Repeat,Increase,RAKE,RLE,TS_2DIFF,GORILLA,PLAIN,SPRINTZ,RLBE
1,0,0,0,64.1426081182037,71.73109770263785,489,0.0029884198729921555,23.01482975053646,554,0.22843861542292687,0.672892541402067,0,0,0,0,1,0,0
1,0,0,0,245.5369,44.68912438602931,190,-0.009400940094009401,2.161707410603022,58,0.063,0.8623862386238624,0,0,0,1,0,0,0
1,0,0,0,1208.122399463115,101.96806147230032,1330,-0.0023231801755291687,43.18351356541352,2368,0.2688038820917867,0.7627774909654105,0,0,0,0,1,0,0
1,0,0,0,5.6848,6.5368990324159055,20,0.00020002000200020003,0.4724640538964018,31,0.7443,0.9427942794279428,0,0,0,0,1,0,0
1,0,0,0,45.4015,7.480768526695637,31,0.0015001500150015,0.4073258415680233,33,0.9819,0.9970997099709971,0,1,0,0,0,0,0
1,0,0,0,7.961106523534269,6.373424133995057,25,-0.0003716090672612412,0.6074600116033265,35,0.6696118909991743,0.9229117634914736,0,0,0,0,1,0,0
1,0,0,0,3.9950608125256233,11.461283713095144,79,9.761430635273905e-05,1.8292938600863708,98,0.6723346933994495,0.8963336066533911,0,0,0,0,1,0,0
1,0,0,0,4.409,6.155884907955963,20,-0.0015001500150015,0.39637540428372897,32,0.9421,0.985998599859986,0,0,0,0,1,0,0
1,0,0,0,88.1608,80.90267327696904,516,-0.0313031303130313,35.03093257159599,570,0.1967,0.8526852685268527,0,0,0,0,1,0,0
1,0,0,0,198.11519419078007,103.37250895166717,379,-0.010232711668592177,78.41994409932963,721,0.16530971504015843,0.640919843758596,0,0,0,0,1,0,0
1,0,0,0,169.94609650200704,102.39293822302231,379,0.008601974357924057,72.87277271026323,718,0.3106823953469321,0.6922131651169459,0,0,0,0,1,0,0
1,0,0,0,-0.3597122302158273,6.799941643109124,20,-0.0019047619047619048,0.48051622530519933,32,0.9839187473550571,0.9989417989417989,0,1,0,0,0,0,0
1,0,0,0,99.85717592592593,7.284462751648962,18,0.0006945248292626461,0.40227329373630805,35,0.9931712962962963,0.9994212293089478,0,1,0,0,0,0,0
1,0,0,0,64.1426081182037,71.73109770263785,489,0.0029884198729921555,23.01482975053646,554,0.22843861542292687,0.672892541402067,0,0,0,0,1,0,0
1,0,0,0,245.5369,44.68912438602931,190,-0.009400940094009401,2.161707410603022,58,0.063,0.8623862386238624,0,0,0,1,0,0,0
1,0,0,0,1208.122399463115,101.96806147230032,1330,-0.0023231801755291687,43.18351356541352,2368,0.2688038820917867,0.7627774909654105,0,0,0,0,1,0,0
1,0,0,0,5.6848,6.5368990324159055,20,0.00020002000200020003,0.4724640538964018,31,0.7443,0.9427942794279428,0,0,0,0,1,0,0
1,0,0,0,45.4015,7.480768526695637,31,0.0015001500150015,0.4073258415680233,33,0.9819,0.9970997099709971,0,1,0,0,0,0,0
1,0,0,0,7.961106523534269,6.373424133995057,25,-0.0003716090672612412,0.6074600116033265,35,0.6696118909991743,0.9229117634914736,0,0,0,0,1,0,0
1,0,0,0,3.9950608125256233,11.461283713095144,79,9.761430635273905e-05,1.8292938600863708,98,0.6723346933994495,0.8963336066533911,0,0,0,0,1,0,0
1,0,0,0,4.409,6.155884907955963,20,-0.0015001500150015,0.39637540428372897,32,0.9421,0.985998599859986,0,0,0,0,1,0,0
