Exponent,Types,Length,Repeat,RLE,PLAIN,HUFFMAN,DICTIONARY,MTF,BW,AC
0.0,2,0.983,1000.0,0,0,0,1,0,0,0
2.909509919100021e-05,5,0.411348,100.0,0,0,0,1,0,0,0
0.0931094043914814,99237,0.0372967633471616,358.93624,0,0,0,0,1,0,0
0.0,2,0.9493293591654248,1006.5,0,0,0,1,0,0,0
0.0,2,0.5240112994350282,708.0,0,0,0,1,0,0,0
0.0,2,0.973,1000.0,0,0,0,1,0,0,0
1.034809395515322e-05,253,0.015021894846736,1.2166577283504572,0,0,0,1,0,0,0
0.0324214776923774,900,0.4990989243580847,1000.0,0,0,0,0,0,1,0
0.1699250014423123,98826,0.0413165197584347,319.87883,0,0,0,0,1,0,0
0.0,2,0.5085508550855086,1111.0,0,0,0,1,0,0,0
0.024662054234269,600,0.4992265787647467,1000.0,0,0,0,0,0,1,0
0.0,300,0.4981039555863983,1000.0,0,0,0,0,0,1,0
0.0,2,0.5065861690450055,911.0,0,0,0,1,0,0,0
0.0,2,0.5147540983606558,610.0,0,0,0,1,0,0,0
0.0,2,0.9683908045977012,1044.0,0,0,0,1,0,0,0
0.0,2,0.4851485148514851,202.0,0,0,0,1,0,0,0
0.0,2,0.4950980392156863,102.0,0,0,0,1,0,0,0
0.0,2,0.4938271604938271,202.5,0,0,0,1,0,0,0
0.0524674198941354,1500,0.4998905274115198,1000.0,0,0,0,0,0,1,0
0.0,2,0.971,1000.0,0,0,0,1,0,0,0
0.0,1350,0.4996083120338924,1000.0,0,0,0,0,0,1,0
2.8912013966809636e-05,3,0.4799666,100.0,0,0,0,1,0,0,0
0.0,2,0.9111111111111112,1012.5,0,0,0,1,0,0,0
0.0,2,0.9034617259873232,1025.5,0,0,0,1,0,0,0
0.0004340890783131,2707,0.0184991962189911,14.709572936660267,0,0,0,1,0,0,0
0.0,2,0.5082236842105263,304.0,0,0,0,1,0,0,0
0.0,2,0.9555765595463138,1058.0,0,0,0,1,0,0,0
0.0,2,0.5059642147117296,503.0,0,0,0,1,0,0,0
0.0,2,0.5072463768115942,103.5,0,0,0,1,0,0,0
2.8912013966809636e-05,3,0.5998,100.0,0,0,0,1,0,0,0
0.0291463456595165,750,0.4988800485773768,1000.0,0,0,0,0,0,1,0
0.1154772174199358,98441,0.0411728623746518,347.10023,0,0,0,0,1,0,0
0.0,2,0.5043103448275862,812.0,0,0,0,1,0,0,0
1.0212577227508211e-05,51,0.0002060043398247,1.0276335102179068,0,0,0,1,0,0,0
0.0,2,0.5002261420171868,1105.5,0,0,0,1,0,0,0
0.0,2,0.4926108374384236,812.0,0,0,0,1,0,0,0
0.0,99625,0.038259754129456,346.39611,0,0,0,0,1,0,0
0.0,2,0.5004935834155972,506.5,0,0,0,1,0,0,0
0.0234589728239889,600,0.4989776197085357,1000.0,0,0,0,0,0,1,0
0.0065133069586743,150,0.5000249826509369,1000.0,0,0,0,1,0,0,0
0.1699250014423123,99390,0.0366863653517259,373.629,0,0,0,0,1,0,0
0.0,750,0.4988437196391395,1000.0,0,0,0,0,0,1,0
0.0,2,0.5185643564356436,404.0,0,0,0,1,0,0,0
0.0,2,0.5024390243902439,307.5,0,0,0,1,0,0,0
0.0384741478146356,1050,0.4998076335877862,1000.0,0,0,0,0,0,1,0
0.0179219079972623,450,0.4990356696738376,1000.0,0,0,0,0,0,1,0
0.0,2,0.999,1000.0,0,0,0,1,0,0,0
0.0,2,0.9319862000985708,1014.5,0,0,0,1,0,0,0
0.0,2,0.5116115411681914,710.5,0,0,0,1,0,0,0
0.0,2,0.9831097863884748,1006.5,0,0,0,1,0,0,0
0.0,2,0.972972972972973,1017.5,0,0,0,1,0,0,0
0.0,2,0.5049443757725587,809.0,0,0,0,1,0,0,0
0.0,2,0.999,1000.0,0,0,0,1,0,0,0
2.8971816110340637e-05,4,0.4799642007159856,100.0,0,0,0,1,0,0,0
0.0,900,0.4999132546842471,1000.0,0,0,0,0,0,1,0
0.2630344058337938,99226,0.0420534802191204,317.81246,0,0,0,0,1,0,0
0.0,2,0.5172225259704757,914.5,0,0,0,1,0,0,0
0.0,99523,0.0434012390372457,319.44641,0,0,0,0,1,0,0
0.0,2,0.5071534287123828,1013.5,0,0,0,1,0,0,0
0.0126000367796335,300,0.4991890700902151,1000.0,0,0,0,0,0,1,0
0.0,2,0.963,1000.0,0,0,0,1,0,0,0
0.0443941193584534,1200,0.4992202984038862,1000.0,0,0,0,0,0,1,0
0.2630344058337938,99307,0.0385830032454054,344.24666,0,0,0,0,1,0,0
0.0,1500,0.4994066967383761,1000.0,0,0,0,0,0,1,0
0.0,2,0.5,102.0,0,0,0,1,0,0,0
0.0,2,0.5074380165289256,302.5,0,0,0,1,0,0,0
2.886862381699348e-05,2,0.5000240004800096,100.0,0,0,0,1,0,0,0
0.0,150,0.499679146426093,1000.0,0,0,0,1,0,0,0
0.0,2,0.4956140350877193,912.0,0,0,0,1,0,0,0
0.0,450,0.4996577723802914,1000.0,0,0,0,0,0,1,0
2.8971816110340637e-05,4,0.4203507929841403,100.0,0,0,0,1,0,0,0
0.0,2,0.5160652496292635,1011.5,0,0,0,1,0,0,0
0.0,2,0.5007022471910112,712.0,0,0,0,1,0,0,0
0.0,1350,0.4991636847449319,1000.0,0,0,0,0,0,1,0
0.0,2,0.5220804710500491,509.5,0,0,0,1,0,0,0
0.1926450779423958,98392,0.0408810308079888,327.24077,0,0,0,0,1,0,0
2.935439322318804e-05,6,0.4127838556771135,100.0,0,0,0,1,0,0,0
0.0,99130,0.0392766903028334,330.2707,0,0,0,0,1,0,0
0.0,1200,0.4998437196391395,1000.0,0,0,0,0,0,1,0
