Sensor,s_0
1538014082,1313
1538014581,1312
1538023969,1301
1538023333,1317
1538023849,1310
1538024389,1285
1538024557,1279
1538025061,1246
1538025561,1263
1538026066,1268
1538026559,1271
1538027065,1265
1538027561,1249
1538024497,1268
1538025291,1262
1538025795,1262
1538026297,1269
1538026794,1259
1538027497,1261
1538024492,1310
1538024993,1306
1538026403,1334
1538026909,1314
1538027429,1264
1538027933,1262
1538028437,1259
1538028940,1261
1538030018,1249
1538030522,1260
1538031023,1250
1538031526,1261
1538028516,1264
1538029056,1245
1538029586,1250
1538030254,1248
1538030789,1261
1538031294,1243
1538028264,1262
1538028769,1301
1538029277,1298
1538029785,1263
1538030291,1262
1538030798,1302
1538031301,1292
1538031808,1246
1538032315,1264
1538032814,1245
1538032820,1246
1538032826,1246
1538032832,1246
1538032838,1247
1538032843,1250
1538032849,1252
1538032854,1254
1538032860,1257
1538032865,1259
1538032871,1259
1538032877,1259
1538032882,1259
1538032888,1261
1538032893,1261
1538032898,1261
1538032904,1260
1538032909,1261
1538032915,1262
1538032920,1263
1538032926,1263
1538032932,1264
1538032938,1263
1538032943,1260
1538032948,1260
1538032954,1260
1538032960,1259
1538032966,1258
1538032971,1256
1538032976,1256
1538032982,1257
1538032987,1257
1538032993,1258
1538032999,1257
1538033005,1258
1538033011,1259
1538033016,1258
1538033022,1259
1538033027,1260
1538033033,1262
1538033038,1265
1538033044,1266
1538032320,1264
1538032325,1264
1538032331,1264
1538032336,1264
1538032341,1264
1538032346,1264
1538032352,1264
1538032357,1264
1538032362,1264
1538032368,1264
1538032374,1264
1538032379,1264
1538032385,1264
1538032391,1264
1538032397,1264
1538032403,1264
1538032409,1264
1538032415,1264
1538032421,1264
1538032427,1264
1538032432,1264
1538032438,1264
1538032443,1264
1538032449,1264
1538032455,1264
1538032461,1264
1538032467,1264
1538032473,1264
1538032479,1264
1538032485,1264
1538032491,1264
1538032497,1264
1538032502,1264
1538032508,1264
1538032514,1264
1538032519,1263
1538032525,1263
1538032531,1263
1538032537,1263
1538032542,1263
1538032547,1263
1538032553,1263
1538032558,1263
1538032564,1263
1538032570,1263
1538032575,1263
1538032581,1263
1538032586,1263
1538032591,1263
1538032597,1263
1538032603,1263
1538032608,1263
1538032613,1263
1538032618,1263
1538032624,1263
1538032629,1263
1538032634,1262
1538032639,1262
1538032645,1260
1538032650,1257
1538032656,1255
1538032662,1252
1538032667,1250
1538032672,1249
1538032677,1249
1538032683,1247
1538032688,1247
1538032694,1247
1538032700,1247
1538032706,1247
1538032712,1247
1538032717,1246
1538032723,1244
1538032729,1243
1538032735,1240
1538032741,1238
1538032747,1238
1538032753,1238
1538032759,1238
1538032764,1238
1538032769,1238
1538032775,1240
1538032781,1242
1538032787,1243
1538032792,1244
