Sensor,s_0
1538429245,-7
1538429816,10
1538430354,-8
1538430858,-8
1538428535,-8
1538429035,7
1538429535,-8
1538430041,-8
1538430551,0
1538431047,3
1538431579,5
1538432226,1
1538432730,-8
1538433235,-8
1538433740,-8
1538434239,-8
1538434744,-8
1538431638,9
1538432142,-5
1538432647,-8
1538433153,0
1538433654,2
1538434168,-8
1538434678,-8
1538435190,-8
1538435692,-8
1538436236,-8
1538436740,-8
1538437251,-3
1538437820,5
1538438327,3
1538435232,-3
1538435734,-8
1538436234,-8
1538436726,-1
1538437222,7
1538437720,5
1538438218,12
1538438720,13
1538439291,-8
1538439800,4
1538440338,-1
1538440839,12
1538441393,-8
1538441905,-1
1538438812,-1
1538439319,-8
1538439819,-8
1538440329,3
1538440845,-8
1538441351,11
1538441861,-8
1538441867,-8
1538441872,-8
1538441878,-8
1538441884,-8
1538441889,-8
1538441895,-8
1538441900,-8
1538441906,-8
1538441912,-8
1538441918,-8
1538441924,-8
1538441930,-8
1538441935,-8
1538441941,-8
1538441947,-8
1538441953,-8
1538441958,-8
1538441964,-8
1538441970,-8
1538441975,-8
1538441981,-8
1538441987,-8
1538441993,-8
1538441998,-8
1538442003,1
1538442038,4
1538442044,5
1538442050,5
1538442056,5
1538442062,6
1538442104,6
1538442110,4
1538442116,7
1538442122,6
1538442128,7
1538442134,5
1538441357,12
1538441362,8
1538441368,10
1538441373,9
1538441379,8
1538441384,10
1538441390,10
1538441396,9
1538441402,9
1538441408,8
1538441414,9
1538441420,8
1538441426,8
1538441432,8
1538441438,7
1538441444,11
1538441450,9
1538441456,11
1538441461,9
1538441467,9
1538441473,9
1538441478,6
1538441484,1
1538441490,-7
1538441496,-7
1538441502,-5
1538441507,-7
1538441513,-1
1538441519,0
1538441524,1
1538441530,3
1538441536,4
1538441542,4
1538441548,7
1538441554,7
1538441560,7
1538441565,6
1538441570,5
1538441576,4
1538441582,3
1538441588,3
1538441593,4
1538441600,2
1538441606,1
1538441611,0
1538441617,2
1538441623,4
1538441629,3
1538441634,4
1538441640,5
1538441646,6
1538441652,3
1538441657,5
1538441663,5
1538441669,7
1538441674,8
1538441680,7
1538441686,8
1538441691,7
1538441696,5
1538441702,8
1538441708,11
1538441713,7
1538441719,8
1538441725,12
1538441731,9
1538441737,11
1538441743,10
1538441749,9
1538441755,0
1538441761,3
1538441767,5
1538441773,8
1538441778,7
1538441783,6
1538441789,6
1538441794,-8
1538441800,-7
1538441805,-3
1538441810,-4
1538441816,-4
1538441822,-5
1538441827,-4
1538441833,-7
1538441839,-8
1538441845,-8
1538441850,-8
1538441856,-8
1538442140,5
1538443256,7
1538443261,5
1538443267,3
1538443272,5
1538443277,4
1538443283,0
1538443289,-8
1538443294,-8
1538443300,-8
1538443306,-8
1538443312,-8
1538443317,-8
1538443322,-8
1538443328,-8
1538443334,-8
1538443340,-8
