Sensor,s_0
1534030381,-5
1534031388,183
1534031179,22
1534030732,-5
1534032455,-5
1534034160,104
1534032037,-5
1534033100,113
1534034290,159
1534035423,169
1534033235,59
1534034273,-5
1534035287,-2
1534036322,228
1534037326,-5
1534038319,204
1534035748,317
1534036747,102
1534036753,93
1534036759,69
1534036765,96
1534036771,102
1534036777,100
1534036783,98
1534036789,93
1534036795,89
1534036801,98
1534036807,87
1534036813,91
1534036819,96
1534036825,102
1534036831,98
1534036837,85
1534036843,98
1534036849,106
1534036855,111
1534036860,120
1534036866,120
1534036872,119
1534036878,115
1534036883,139
1534036889,137
1534036895,145
1534036900,120
1534036906,126
1534036912,102
1534036917,124
1534036922,109
1534036927,143
1534037034,93
1534037040,100
1534037046,-5
1534037052,-2
1534037057,32
1534037063,20
1534037068,-5
1534037074,-5
1534037079,-5
1534037084,-5
1534037090,-5
1534037096,-5
1534037102,-5
1534037108,-5
1534037113,70
1534037118,133
1534037124,232
1534037130,257
1534037136,298
1534037141,326
1534037147,306
1534037152,278
1534037162,269
1534037168,272
1534037174,246
1534037180,289
1534037186,230
1534037192,230
1534037197,217
1534037203,307
1534037209,311
1534037215,285
1534037221,332
1534037226,335
1534037232,307
1534037237,304
1534037243,319
1534037248,298
1534037254,313
1534038325,167
1534038331,145
1534038337,-4
1534038343,-4
1534038349,-5
1534038354,-5
1534038360,-5
1534038365,-5
1534038371,-5
1534038376,-5
1534038382,-5
1534038388,-5
1534038393,-5
1534038398,-5
1534038404,-5
1534038410,-5
1534038416,-5
1534038421,-5
1534038427,-5
1534038432,-5
1534038438,19
1534038444,0
1534038450,-4
1534038456,-5
1534038462,-5
1534038467,-5
1534038472,-5
1534038478,-5
1534038483,-5
1534038489,-5
1534038494,-5
1534038499,-5
1534038505,-5
1534038510,-5
1534038515,-5
1534038521,-5
1534038526,-5
1534038532,-5
1534038538,-5
1534038544,-5
1534038550,-5
1534038556,-5
1534038562,-5
1534038568,-5
1534038574,-5
1534038579,-5
1534038584,-5
1534038589,-5
1534038595,-5
1534038601,-5
1534038607,-5
1534038613,-5
1534038618,-5
1534038624,-5
1534038629,-5
1534038635,-5
1534038641,-5
1534038646,-5
1534038652,-5
1534038658,-5
1534038663,-5
1534038668,-5
1534038674,-5
1534038680,-5
1534038686,-5
1534038692,-5
1534038698,-5
1534038704,-5
1534038710,-5
1534038716,-5
1534038722,-5
1534038728,-5
1534038734,-5
1534038740,-5
1534038746,-5
1534038752,32
1534038758,41
1534038764,54
1534038769,52
1534038775,50
1534038781,57
1534038787,70
1534038793,120
1534038799,145
1534038809,141
1534038814,150
1534038820,139
1534038825,141
1534035754,270
1534035759,250
1534035765,232
1534035771,222
1534035776,217
1534035781,219
1534035787,237
1534035792,226
1534035798,226
1534035809,159
1534035815,156
1534035820,152
1534035825,193
1534035831,222
1534035871,170
1534035877,193
1534035883,139
1534035889,106
1534035896,115
1534035902,-5
1534035907,0
1534035913,35
1534035919,28
1534035925,13
1534035931,-2
1534035937,0
1534035944,-2
1534035949,0
1534035955,-2
1534035961,-4
1534035967,-2
1534035972,-4
1534035978,-2
1534035983,-4
1534035989,0
1534035994,0
1534036000,0
1534036005,0
1534036011,-5
1534036017,-4
1534036023,-5
1534036029,-4
1534036034,-5
1534036039,-5
1534036045,-5
1534036050,-5
1534036056,-5
1534036062,-5
1534036067,-5
1534036073,-5
1534036079,-5
1534036084,-5
1534036090,-5
1534036096,-5
1534036102,-5
1534036108,-5
1534036113,-5
1534036119,-5
1534036124,-5
1534036129,-5
1534036136,-5
1534036142,-5
1534036147,-5
1534036153,-5
1534036164,-5
1534036170,-5
1534036175,-5
1534036181,-5
1534036187,-5
1534036193,-5
1534036198,-5
1534036204,-5
1534036210,-5
1534036216,-5
1534036221,-5
1534036226,-5
1534036232,-5
1534036237,-5
1534036242,-5
1534036247,-5
1534036253,-5
1534036258,-5
1534036264,-5
1534036270,-5
1534036275,-5
1534036281,-5
1534036287,-5
1534036292,-5
1534037265,326
1534038310,95
1534038315,104
1534038384,150
1534038390,178
1534038395,182
1534038400,185
1534038405,191
1534038410,174
1534038449,69
1534038455,-5
1534038460,-4
1534038466,-5
1534038472,24
1534038478,-5
1534038483,-4
1534038488,-5
1534038494,-5
1534038500,-5
1534038505,-5
1534038510,-5
1534038516,-4
1534038522,33
1534038528,35
1534038533,65
1534038539,56
1534038549,96
1534038555,93
1534038560,93
1534038566,95
1534038572,74
1534038614,37
1534038620,37
1534038626,30
1534038632,32
1534038637,-5
1534038642,-5
1534038647,-5
1534038653,-5
1534038659,-5
1534038665,-5
1534038670,-5
1534038676,-5
1534038682,-5
1534038688,-5
1534038693,-4
1534038698,-4
1534038704,11
1534038710,-5
1534038716,11
1534038722,-4
1534038728,65
1534038734,98
1534038740,113
1534038746,161
1534038752,248
1534038758,254
1534038764,307
1534038776,289
1534038782,289
1534038788,257
1534038794,276
1534038800,267
1534038806,272
1534038812,256
1534038818,250
1534038824,265
1534038830,332
1534038836,280
1534038842,259
1534038848,298
1534038854,296
1534038860,220
1534038866,211
1534038872,200
1534038878,206
1534038884,187
1534038890,178
1534038896,174
1534038902,198
1534038908,191
1534038914,187
1534038920,219
1534038925,183
1534038931,178
1534038965,178
1534038971,207
1534038977,182
1534038982,117
1534038988,172
1534038994,183
1534039000,195
1534039006,141
1534039012,109
1534039017,132
1534039022,59
1534039034,41
1534039040,37
1534039046,35
1534039052,9
1534039058,-5
1534039063,-5
1534039068,-5
1534039074,-5
1534039079,-5
1534039084,-5
1534039090,-5
1534039095,-5
1534039101,-5
1534039106,-5
1534039112,-5
1534039118,-5
