Sensor,s_0
1534973943,1306
1534974456,1243
1534974954,1176
1534975462,1196
1534975962,1249
1534976463,1184
1534976959,1182
1534977464,1186
1534977971,1190
1534978488,1250
1534977044,1270
1534977816,1188
1534978344,1180
1534976951,1303
1534978139,1182
1534978667,1185
1534979165,1187
1534979675,1190
1534980188,1193
1534980690,1247
1534981186,1286
1534980014,1247
1534981034,1205
1534981544,1174
1534982054,1177
1534979428,1185
1534979941,1215
1534980467,1164
1534981173,1252
1534981681,1166
1534982183,1209
1534983426,1276
1534984315,1228
1534984823,1177
1534985327,1228
1534985829,1226
1534983035,1270
1534983648,1206
1534984165,1174
1534984766,1237
1534985430,1238
1534985943,1171
1534982856,1163
1534982861,1163
1534982867,1163
1534982873,1163
1534982879,1163
1534982885,1163
1534982890,1163
1534982895,1163
1534982900,1163
1534982906,1163
1534982912,1163
1534982917,1163
1534982923,1163
1534982929,1163
1534982934,1163
1534982946,1163
1534982952,1163
1534982958,1163
1534982964,1163
1534982970,1163
1534982975,1163
1534982981,1163
1534982987,1163
1534982993,1163
1534982999,1163
1534983004,1163
1534983009,1163
1534983015,1163
1534983021,1163
1534983027,1163
1534983032,1163
1534983038,1163
1534983043,1163
1534983048,1163
1534983054,1163
1534983060,1163
1534983066,1163
1534983072,1163
1534983077,1163
1534983083,1163
1534983089,1163
1534983095,1163
1534983101,1163
1534983106,1163
1534983112,1163
1534983117,1163
1534985948,1171
1534985954,1171
1534985959,1171
1534985964,1171
1534985969,1171
1534985975,1171
1534985980,1171
1534985986,1171
1534985991,1171
1534985997,1171
1534982402,1247
1534982408,1246
1534982414,1246
1534982420,1246
1534982426,1246
1534982432,1246
1534982438,1246
1534982444,1246
1534982450,1246
1534982456,1245
1534982461,1245
1534982467,1245
1534982473,1245
1534982479,1244
1534982485,1243
1534982492,1237
1534982498,1231
1534982504,1226
1534982510,1220
1534982516,1216
1534982521,1213
1534982527,1208
1534982532,1203
1534982538,1200
1534982543,1198
1534982549,1195
1534982554,1191
1534982559,1189
1534982565,1186
1534982570,1185
1534982576,1183
1534982581,1181
1534982592,1176
1534982598,1174
1534982605,1172
1534982611,1170
1534982617,1168
1534982622,1166
1534982628,1164
1534982633,1163
1534982639,1162
1534982644,1162
1534982650,1162
1534982656,1162
1534982661,1163
1534982666,1163
1534982672,1162
1534982678,1162
1534982690,1161
1534982695,1160
1534982701,1159
1534982707,1160
1534982713,1160
1534982718,1161
1534982723,1162
1534982729,1163
1534982735,1163
1534982740,1163
1534982746,1163
1534982751,1163
1534982756,1163
1534982762,1163
1534982768,1163
1534982774,1163
1534982779,1163
1534982784,1163
1534982790,1163
1534982795,1163
1534982801,1163
1534982806,1163
1534982812,1163
1534982818,1163
1534982823,1163
1534982829,1163
1534982834,1163
1534982839,1163
1534982845,1163
1534982850,1163
1534983123,1163
1534986676,1184
1534986682,1183
1534986688,1181
1534986694,1178
1534986699,1177
1534986705,1176
1534986710,1176
1534986715,1175
1534986720,1175
1534986725,1174
1534986731,1172
1534986737,1172
1534986743,1172
1534986749,1172
1534986754,1175
1534986760,1173
1534986766,1170
1534986771,1168
1534986776,1170
1534986781,1176
1534986786,1181
1534986792,1185
1534986797,1187
1534986803,1190
1534986808,1191
1534986814,1194
1534986819,1195
1534986825,1195
1534986831,1195
1534986837,1194
1534986843,1193
1534986849,1192
1534986855,1190
1534986861,1189
1534986867,1190
1534986873,1196
1534986879,1198
1534986885,1199
1534986890,1200
1534986896,1201
1534986901,1202
1534986907,1203
1534986912,1206
1534986918,1207
1534986923,1210
1534986928,1212
1534986933,1213
1534986939,1218
1534986945,1222
1534986951,1224
1534986957,1225
1534986963,1227
1534986968,1229
1534986974,1233
1534986979,1235
1534986985,1237
1534986991,1238
1534986997,1237
1534987002,1235
1534987008,1236
1534987014,1240
1534987020,1242
