DataFile,Compression,Encoding,Insert Time,Select Time
data_89.csv,NONE,PLAIN,0.2225269556045532,0.6818390846252441
data_89.csv,NONE,HUFFMAN,2.379418873786926,0.7242052316665649
data_89.csv,NONE,RLE,0.1936024665832519,0.6993769407272339
data_89.csv,NONE,DICTIONARY,0.1309720993041992,0.6710695266723633
data_89.csv,GZIP,PLAIN,0.4149350643157959,0.6978160381317139
data_89.csv,GZIP,HUFFMAN,2.636405515670776,0.7259602308273315
data_89.csv,GZIP,RLE,0.4820602416992187,0.701245927810669
data_89.csv,GZIP,DICTIONARY,0.3513859272003173,0.690697431564331
data_89.csv,LZ4,PLAIN,0.1156238794326782,0.6777268648147583
data_89.csv,LZ4,HUFFMAN,2.230748724937439,0.710773229598999
data_89.csv,LZ4,RLE,0.1630959272384643,0.6989484548568725
data_89.csv,LZ4,DICTIONARY,0.1015757083892822,0.6685142278671264
data_89.csv,SNAPPY,PLAIN,0.127768063545227,0.667294192314148
data_89.csv,SNAPPY,HUFFMAN,2.243860149383545,0.7326759099960327
data_89.csv,SNAPPY,RLE,0.1905381202697754,0.6883042812347412
data_89.csv,SNAPPY,DICTIONARY,0.1277578592300415,0.7035743474960328
data_28.csv,NONE,PLAIN,0.0985505104064941,0.2712285995483398
data_28.csv,NONE,HUFFMAN,0.0910473346710205,0.2418885707855224
data_28.csv,NONE,RLE,0.0696716070175171,0.2477908849716186
data_28.csv,NONE,DICTIONARY,0.0650074481964111,0.2591269016265869
data_28.csv,GZIP,PLAIN,0.0792242765426635,0.2577444791793823
data_28.csv,GZIP,HUFFMAN,0.0680929899215698,0.2490726470947265
data_28.csv,GZIP,RLE,0.0796219825744628,0.2500428199768066
data_28.csv,GZIP,DICTIONARY,0.0510924339294433,0.250040602684021
data_28.csv,LZ4,PLAIN,0.0450112104415893,0.2422068119049072
data_28.csv,LZ4,HUFFMAN,0.0698122978210449,0.2528038740158081
data_28.csv,LZ4,RLE,0.043066930770874,0.2428240537643432
data_28.csv,LZ4,DICTIONARY,0.0478744268417358,0.2428253650665283
data_28.csv,SNAPPY,PLAIN,0.0498750925064086,0.2470980167388916
data_28.csv,SNAPPY,HUFFMAN,0.0659055948257446,0.2609558820724487
data_28.csv,SNAPPY,RLE,0.0437557935714721,0.2661998748779297
data_28.csv,SNAPPY,DICTIONARY,0.0394650220870971,0.2573282957077026
data_98.csv,NONE,PLAIN,0.0813245058059692,0.5938315629959107
data_98.csv,NONE,HUFFMAN,2.0514063835144043,0.6418051481246948
data_98.csv,NONE,RLE,0.1342191457748413,0.5989782333374023
data_98.csv,NONE,DICTIONARY,0.0960936307907104,0.5772058010101319
data_98.csv,GZIP,PLAIN,0.2659226179122925,0.5906442403793335
data_98.csv,GZIP,HUFFMAN,1.9142053604125977,0.6145649671554565
data_98.csv,GZIP,RLE,0.4109805107116699,0.591821265220642
data_98.csv,GZIP,DICTIONARY,0.2712983608245849,0.5943349123001098
data_98.csv,LZ4,PLAIN,0.0642346382141113,0.5805319547653198
data_98.csv,LZ4,HUFFMAN,2.00072762966156,0.6399537563323975
data_98.csv,LZ4,RLE,0.1415176630020141,0.5791415691375732
data_98.csv,LZ4,DICTIONARY,0.075736665725708,0.5986141681671142
data_98.csv,SNAPPY,PLAIN,0.077347993850708,0.5739618539810181
data_98.csv,SNAPPY,HUFFMAN,2.0348440170288087,0.6005776643753051
data_98.csv,SNAPPY,RLE,0.1371200561523437,0.5945584535598755
data_98.csv,SNAPPY,DICTIONARY,0.0844761371612548,0.5967036008834838
data_35.csv,NONE,PLAIN,0.0365514278411865,0.2785771131515503
data_35.csv,NONE,HUFFMAN,0.1346665620803833,0.2776011943817139
data_35.csv,NONE,RLE,0.0520349264144897,0.2662176609039307
data_35.csv,NONE,DICTIONARY,0.0425154447555542,0.273948073387146
data_35.csv,GZIP,PLAIN,0.0512347698211669,0.2638414859771728
data_35.csv,GZIP,HUFFMAN,0.1437156200408935,0.2700194597244262
data_35.csv,GZIP,RLE,0.078504729270935,0.2646193504333496
data_35.csv,GZIP,DICTIONARY,0.0495601177215576,0.277935242652893
data_35.csv,LZ4,PLAIN,0.0402271270751953,0.2659711599349975
data_35.csv,LZ4,HUFFMAN,0.1194911956787109,0.2669140338897705
data_35.csv,LZ4,RLE,0.0481262683868408,0.2752427339553833
data_35.csv,LZ4,DICTIONARY,0.0415142774581909,0.2830302238464355
data_35.csv,SNAPPY,PLAIN,0.0371846675872802,0.2657315254211426
data_35.csv,SNAPPY,HUFFMAN,0.1227896213531494,0.2706303834915161
data_35.csv,SNAPPY,RLE,0.0484511852264404,0.2821079015731811
data_35.csv,SNAPPY,DICTIONARY,0.0442151546478271,0.2685744047164917
data_52.csv,NONE,PLAIN,0.1079023599624633,0.6460150718688965
data_52.csv,NONE,HUFFMAN,2.195795464515686,0.680658221244812
data_52.csv,NONE,RLE,0.1427018880844116,0.653112816810608
data_52.csv,NONE,DICTIONARY,0.1070608377456665,0.6530692100524902
