DataFile,Compression,Encoding,Compression Ratio
data_89.csv,NONE,PLAIN,0.9901383139479492
data_89.csv,NONE,HUFFMAN,0.698443440746
data_89.csv,NONE,RLE,1.013622203138071
data_89.csv,NONE,DICTIONARY,0.988022496769466
data_89.csv,GZIP,PLAIN,0.0872730368632981
data_89.csv,GZIP,HUFFMAN,0.1754487918664016
data_89.csv,GZIP,RLE,0.2953889209743905
data_89.csv,GZIP,DICTIONARY,0.0916855745837478
data_89.csv,LZ4,PLAIN,0.1235041270385285
data_89.csv,LZ4,HUFFMAN,0.2045339811625038
data_89.csv,LZ4,RLE,0.3261719529256636
data_89.csv,LZ4,DICTIONARY,0.127071558808146
data_89.csv,SNAPPY,PLAIN,0.1657005315146849
data_89.csv,SNAPPY,HUFFMAN,0.2677504407850257
data_89.csv,SNAPPY,RLE,0.4026861996514708
data_89.csv,SNAPPY,DICTIONARY,0.1689144141227369
data_28.csv,NONE,PLAIN,0.4495689876281571
data_28.csv,NONE,HUFFMAN,0.2680545527906893
data_28.csv,NONE,RLE,4.0108987674095085
data_28.csv,NONE,DICTIONARY,0.2150628851606027
data_28.csv,GZIP,PLAIN,0.2001491450573496
data_28.csv,GZIP,HUFFMAN,0.2023610550711233
data_28.csv,GZIP,RLE,0.2290670547909021
data_28.csv,GZIP,DICTIONARY,0.1996331092839735
data_28.csv,LZ4,PLAIN,0.2034145643057902
data_28.csv,LZ4,HUFFMAN,0.2063752621331571
data_28.csv,LZ4,RLE,0.2241049956703526
data_28.csv,LZ4,DICTIONARY,0.2019927862180167
data_28.csv,SNAPPY,PLAIN,0.2153346844180931
data_28.csv,SNAPPY,HUFFMAN,0.2104001880391482
data_28.csv,SNAPPY,RLE,0.3886790632649139
data_28.csv,SNAPPY,DICTIONARY,0.2054258788112189
data_98.csv,NONE,PLAIN,0.9888793064193868
data_98.csv,NONE,HUFFMAN,0.695672483642814
data_98.csv,NONE,RLE,1.0194643246714037
data_98.csv,NONE,DICTIONARY,0.9827654319737568
data_98.csv,GZIP,PLAIN,0.0928459150595358
