Sensor,s_0
1624035358,-5
1624035361,-5
1624035363,-5
1624035365,-5
1624035367,-5
1624035369,-5
1624035372,-5
1624035374,-5
1624035376,-5
1624035378,-5
1624035381,-5
1624035383,-5
1624035385,-5
1624035387,-5
1624035389,-5
1624035392,-5
1624035394,-5
1624035396,-5
1624035398,-5
1624035400,-5
1624035403,-5
1624035405,-5
1624035407,-5
1624035409,-5
1624035411,-5
1624035414,-5
1624035416,-5
1624035418,-5
1624035420,-5
1624035423,-5
1624035425,-5
1624035427,-5
1624035429,-5
1624035431,-5
1624035434,-5
1624035436,-5
1624035438,-5
1624035440,-5
1624035442,-5
1624035445,-5
1624035447,-5
1624035449,-5
1624035451,-5
1624035453,-5
1624035456,-5
1624035458,-5
1624035460,-5
1624035462,-5
1624035464,-5
1624035467,-5
1624035469,-5
1624035471,-5
1624035473,-5
1624035475,-5
1624035478,-5
1624035480,-5
1624035482,-5
1624035484,-5
1624035487,-5
1624035489,-5
1624035491,-5
1624035493,-5
1624035495,-5
1624035498,-5
1624035500,-5
1624035502,-5
1624035504,209
1624035507,209
1624035509,209
1624035511,213
1624035513,213
1624035515,213
1624035518,216
1624035520,216
1624035522,223
1624035524,223
1624035526,223
1624035529,219
1624035531,219
1624035533,219
1624035535,205
1624035537,205
1624035540,205
1624035542,216
1624035544,216
1624035546,203
1624035548,203
1624035551,203
1624035553,222
1624035555,222
1624035557,222
1624035559,214
1624035562,214
1624035564,214
1624035566,222
1624035568,222
1624035570,222
1624035573,226
1624035575,226
1624035577,219
1624035579,219
1624035581,219
1624035584,222
1624035586,222
1624035588,222
1624035590,213
1624035593,213
1624035595,213
1624035597,219
1624035599,219
1624035601,219
1624035604,230
1624035606,230
1624035608,228
1624035610,228
1624035612,228
1624035615,234
1624035617,234
1624035619,234
1624035621,238
1624035623,238
1624035626,238
1624035628,243
1624035630,243
1624035632,243
1624035634,247
1624035637,247
1624035639,236
1624035641,236
1624035643,236
1624035646,-5
1624035648,-5
1624035650,-5
1624035652,-5
1624035654,-5
1624035657,-5
1624035659,-5
1624035661,-5
1624035663,-5
1624035665,199
1624035668,199
1624035670,216
1624035672,216
1624035674,216
1624035676,230
1624035679,230
1624035681,230
1624035683,225
1624035685,225
1624035687,225
1624035690,222
1624035692,222
1624035694,217
1624035696,217
1624035698,217
1624035701,215
1624035703,215
1624035705,215
1624035707,187
1624035709,187
1624035712,187
1624035714,-5
1624035716,-5
1624035718,-5
1624035720,189
1624035723,189
1624035725,187
1624035727,187
1624035729,187
1624035732,205
1624035734,205
1624035736,205
1624035738,-5
1624035740,-5
1624035743,-5
1624035745,-5
1624035747,-5
1624035749,-5
1624035751,-5
1624035754,-5
1624035756,-5
1624035758,-5
1624035760,-5
1624035762,231
1624035765,231
1624035767,231
1624035769,239
1624035771,239
1624035774,239
1624035776,231
1624035778,231
1624035780,231
1624035782,228
1624035785,228
1624035787,238
1624035789,238
1624035791,238
1624035793,243
1624035796,243
1624035798,243
1624035800,250
1624035802,250
1624035804,250
1624035807,252
1624035809,252
1624035811,252
1624035813,261
1624035815,261
1624035818,273
1624035820,273
1624035822,273
1624035824,259
1624035826,259
1624035829,259
1624035831,258
1624035833,258
1624035835,258
1624035837,256
1624035840,256
1624035842,256
1624035844,260
1624035846,260
1624035849,247
1624035851,247
1624035853,247
1624035855,252
1624035857,252
1624035860,252
1624035862,252
1624035864,252
1624035866,252
1624035869,254
1624035871,254
1624035873,254
1624035875,254
1624035877,254
1624035880,248
1624035882,248
1624035884,248
1624035886,255
1624035888,255
1624035891,255
1624035893,245
1624035895,245
1624035897,245
1624035899,248
1624035902,248
1624035904,238
1624035906,238
1624035908,238
1624035910,228
1624035913,228
1624035915,228
1624035917,250
1624035919,250
1624035921,250
1624035924,219
1624035926,219
1624035928,219
1624035930,207
1624035933,207
1624035935,199
1624035937,199
1624035939,199
1624035941,228
1624035944,228
1624035946,228
1624035948,245
1624035950,245
1624035952,245
1624035955,235
1624035957,235
1624035959,235
1624035961,204
1624035963,204
1624035966,240
1624035968,240
1624035970,240
1624035972,246
1624035974,246
1624035977,246
1624035979,245
1624035981,245
1624035983,245
1624035985,231
1624035988,231
1624035990,227
1624035992,227
1624035994,227
1624035996,236
1624035999,236
1624036001,236
1624036003,217
1624036005,217
1624036008,217
1624036010,213
1624036012,213
1624036014,213
1624036016,247
1624036019,247
1624036021,238
1624036023,238
1624036025,238
1624036027,240
1624036030,240
1624036032,240
1624036034,236
1624036036,236
1624036038,236
1624036041,242
1624036043,242
1624036045,242
1624036047,-5
1624036049,-5
1624036052,242
1624036054,242
1624036056,242
1624036058,238
1624036061,238
1624036063,238
1624036065,-5
1624036067,-5
1624036069,-5
1624036072,209
1624036074,209
1624036076,209
1624036078,227
1624036080,227
1624036083,250
1624036085,250
1624036087,250
1624036089,-5
1624036091,-5
1624036094,-5
1624036096,-5
1624036098,-5
1624036100,-5
